"","UseRIC","CurveName","Tenor","BSRef","TenorRefRic","Trade.Date","Mid.Price","Bid.Price","Ask.Price","Instrument.Snap.Time","Cross.Scaling.Factor","Maturity.Date"
"234","RUB3M=","RUB_NDF_Swap_Point","3M","RUB_NDF_3M","RUB3M=",20181029,6580,6530,6630,"20181029 16:00:00",10000,20190130
"235","RUB3M=","RUB_Forward_Swap_Point","3M","RUB_Forward_3M","RUB3M=",20181029,6580,6530,6630,"20181029 16:00:00",10000,20190130
"236","RUB6M=","RUB_Forward_Swap_Point","6M","RUB_Forward_6M","RUB6M=",20181029,13945,13760,14130,"20181029 16:00:00",10000,20190430
"237","RUB6M=","RUB_NDF_Swap_Point","6M","RUB_NDF_6M","RUB6M=",20181029,13945,13760,14130,"20181029 16:00:00",10000,20190430
"238","RUB9M=","RUB_Forward_Swap_Point","9M","RUB_Forward_9M","RUB9M=",20181029,21880,21680,22080,"20181029 16:00:00",10000,20190730
"239","RUB9M=","RUB_NDF_Swap_Point","9M","RUB_NDF_9M","RUB9M=",20181029,21880,21680,22080,"20181029 16:00:00",10000,20190730
"240","RUBSW=","RUB_Forward_Swap_Point","1W","RUB_Forward_1W","RUBSW=",20181029,585,560,610,"20181029 16:00:00",10000,20181106
"241","RUBSW=","RUB_NDF_Swap_Point","1W","RUB_NDF_SW","RUBSW=",20181029,585,560,610,"20181029 16:00:00",10000,20181106
"242","SEK1M=","SEK_Forward_Swap_Point","1M","SEK_Forward_1M","SEK1M=",20181029,-221.375,-223.2,-219.55,"20181029 16:00:00",10000,20181130
"243","SEK1Y=","SEK_Forward_Swap_Point","1Y","SEK_Forward_1Y","SEK1Y=",20181029,-2909.28,-2919.28,-2899.28,"20181029 16:00:00",10000,20191031
"244","SEK2M=","SEK_Forward_Swap_Point","2M","SEK_Forward_2M","SEK2M=",20181029,-433.96,-435.46,-432.46,"20181029 16:00:00",10000,20181228
"245","SEK2W=","SEK_Forward_Swap_Point","2W","SEK_Forward_2W","SEK2W=",20181029,-103.305,-104.6,-102.01,"20181029 16:00:00",10000,20181114
"246","SEK2Y=","SEK_Forward_Swap_Point","2Y","SEK_Forward_2Y","SEK2Y=",20181029,-5475.25,-5501.3,-5449.2,"20181029 16:00:00",10000,20201030
"247","SEK3M=","SEK_Forward_Swap_Point","3M","SEK_Forward_3M","SEK3M=",20181029,-810.99,-813.49,-808.49,"20181029 16:00:00",10000,20190131
"248","SEK4M=","SEK_Forward_Swap_Point","4M","SEK_Forward_4M","SEK4M=",20181029,-1017.7,-1023.95,-1011.45,"20181029 16:00:00",10000,20190228
"249","SEK5M=","SEK_Forward_Swap_Point","5M","SEK_Forward_5M","SEK5M=",20181029,-1228.9,-1236.7,-1221.1,"20181029 16:00:00",10000,20190329
"250","SEK6M=","SEK_Forward_Swap_Point","6M","SEK_Forward_6M","SEK6M=",20181029,-1487.22,-1493.5,-1480.94,"20181029 16:00:00",10000,20190430
"251","SEK9M=","SEK_Forward_Swap_Point","9M","SEK_Forward_9M","SEK9M=",20181029,-2194.9,-2203.4,-2186.4,"20181029 16:00:00",10000,20190731
"252","SEKSW=","SEK_Forward_Swap_Point","1W","SEK_Forward_SW","SEKSW=",20181029,-51.67,-52.22,-51.12,"20181029 16:00:00",10000,20181107
"253","SGD1M=","SGD_Forward_Swap_Point","1M","SGD_Forward_1M","SGD1M=",20181029,-9.86,-10.43,-9.29,"20181029 16:00:00",10000,20181130
"254","SGD1Y=","SGD_Forward_Swap_Point","1Y","SGD_Forward_1Y","SGD1Y=",20181029,-143.03,-153.03,-133.03,"20181029 16:00:00",10000,20191031
"255","SGD2M=","SGD_Forward_Swap_Point","2M","SGD_Forward_2M","SGD2M=",20181029,-20.93,-22.93,-18.93,"20181029 16:00:00",10000,20181231
"256","SGD2W=","SGD_Forward_Swap_Point","2W","SGD_Forward_2W","SGD2W=",20181029,-4.55,-4.88,-4.22,"20181029 16:00:00",10000,20181114
"257","SGD2Y=","SGD_Forward_Swap_Point","2Y","SGD_Forward_2Y","SGD2Y=",20181029,-290.28,-294.42,-286.14,"20181029 16:00:00",10000,20201030
"258","SGD3M=","SGD_Forward_Swap_Point","3M","SGD_Forward_3M","SGD3M=",20181029,-33.55,-35.55,-31.55,"20181029 16:00:00",10000,20190131
"259","SGD3W=","SGD_Forward_Swap_Point","3W","SGD_Forward_3W","SGD3W=",20181029,-6.91,-8.91,-4.91,"20181029 16:00:00",10000,20181121
"260","SGD6M=","SGD_Forward_Swap_Point","6M","SGD_Forward_6M","SGD6M=",20181029,-66.725,-68.1,-65.35,"20181029 16:00:00",10000,20190430
"261","SGD9M=","SGD_Forward_Swap_Point","9M","SGD_Forward_9M","SGD9M=",20181029,-103.31,-105.63,-100.99,"20181029 16:00:00",10000,20190731
"262","SGDSW=","SGD_Forward_Swap_Point","1W","SGD_Forward_SW","SGDSW=",20181029,-2.235,-2.45,-2.02,"20181029 16:00:00",10000,20181107
"263","TRY1M=","TRY_Forward_Swap_Point","1M","TRY_Forward_1M","TRY1M=",20181029,1036.67,1027.91,1045.43,"20181029 16:00:00",10000,20181130
"264","TRY1Y=","TRY_Forward_Swap_Point","1Y","TRY_Forward_1Y","TRY1Y=",20181029,12894.495,12813.31,12975.68,"20181029 16:00:00",10000,20191030
"265","TRY2M=","TRY_Forward_Swap_Point","2M","TRY_Forward_2M","TRY2M=",20181029,2096.41,2086.52,2106.3,"20181029 16:00:00",10000,20181231
"266","TRY2W=","TRY_Forward_Swap_Point","2W","TRY_Forward_2W","TRY2W=",20181029,468.86,454.02,483.7,"20181029 16:00:00",10000,20181113
"267","TRY3M=","TRY_Forward_Swap_Point","3M","TRY_Forward_3M","TRY3M=",20181029,3107.15,3092.27,3122.03,"20181029 16:00:00",10000,20190130
"268","TRY6M=","TRY_Forward_Swap_Point","6M","TRY_Forward_6M","TRY6M=",20181029,6295.85,6277.2,6314.5,"20181029 16:00:00",10000,20190430
"269","TRY9M=","TRY_Forward_Swap_Point","9M","TRY_Forward_9M","TRY9M=",20181029,9612,9577,9647,"20181029 16:00:00",10000,20190730
"270","TRYSW=","TRY_Forward_Swap_Point","1W","TRY_Forward_1W","TRYSW=",20181029,233.2,228.06,238.34,"20181029 16:00:00",10000,20181106
"271","TWD1M=","TWD_Forward_Swap_Point","1M","TWD_Forward_1M","TWD1M=",20181029,-0.069,-0.074,-0.064,"20181029 16:00:00",1,20181130
"272","TWD1Y=","TWD_Forward_Swap_Point","1Y","TWD_Forward_1Y","TWD1Y=",20181029,-0.983,-0.993,-0.973,"20181029 16:00:00",1,20191031
"273","TWD2M=","TWD_Forward_Swap_Point","2M","TWD_Forward_2M","TWD2M=",20181029,-0.1325,-0.134,-0.131,"20181029 16:00:00",1,20181228
"274","TWD3M=","TWD_Forward_Swap_Point","3M","TWD_Forward_3M","TWD3M=",20181029,-0.23,-0.235,-0.225,"20181029 16:00:00",1,20190131
"275","TWD6M=","TWD_Forward_Swap_Point","6M","TWD_Forward_6M","TWD6M=",20181029,-0.467,-0.477,-0.457,"20181029 16:00:00",1,20190430
